year,Contribution of hours worked,Contribution of labor quality,Contribution of real net capital stock,Contribution of capital quality,Contribution of TFP(Cycle),Contribution of TFP(Trend)
1995,0.6209255069896849,0.8877185240397064,0.77698506069669,0.5020327338247051,-0.5967943409187177,0.48350921289651216
1996,0.19278791848230648,-0.02402790072335312,0.8082341829462849,0.6030285269589905,1.335937351565331,0.368628711122997
1997,-0.853608070648019,0.057143509700757475,0.7694171752947757,0.46794906897443933,0.7361764125818299,0.15826111480248703
1998,-1.6383648838678755,0.7719767301777003,0.6271154128796245,0.12702659585125362,-1.834009010556457,-0.029330694361559603
1999,-0.7600723135373674,0.31127030249912924,0.44251142846349134,0.02943431722005445,-0.553304837038155,0.041904391347408
2000,0.5372405932689535,0.7801626122039538,0.5397296283051269,0.04046049749425454,0.21007811447865543,0.3145760379569076
2001,-2.148819606169969,0.15286434032450447,0.45766972639105263,0.10631766967368961,0.11435750018366297,0.6427651375683521
2002,-1.7331815241973445,0.3852294676502609,0.23551060931807127,-0.04539825651184579,0.235158914680606,0.9141650805997389
2003,-0.4891825780074905,0.37636990924447883,0.22673196443539567,0.06543796092722019,0.3869898191247083,1.0347664574984519
2004,0.5766990192841357,0.5024924411027973,0.20330691207457768,0.18446671522328503,0.10525875643604199,0.9481852850607725
2005,-0.720911643354121,0.5988847155985242,0.3181323564628139,0.2829268717554458,1.3872246096354082,0.6599559511429356
2006,1.2990352808221737,0.7072893646490249,0.35061796397839406,0.28996417159465443,-1.499483753815707,0.1924542446309425
2007,-0.5114179870309604,-0.22568052809184663,0.3136925081988154,0.3631239385103821,1.6044897690347895,-0.20998810804753962
2008,-1.3053123826151634,-0.1333446117858318,0.17582673916946528,0.28563902198657143,-0.3445946391962589,-0.542956781075357
2009,-3.8875473141599968,0.45468113018492995,-0.20676540644844074,-0.07724477870490265,-5.1362144449327,-0.5453190855897899
2010,0.6705397329596532,0.3899378746519647,-0.25318894439591594,-0.025205603542325965,3.980192868487141,-0.011077474999519749
2011,-0.5914107455976471,0.013225341985265504,-0.16308135001716872,-0.04777856922829183,-0.49606932107086216,0.4439712860975402
2012,0.5723253869446767,0.5770566065630216,-0.043197470063199135,0.10804573778697163,-0.992730679965901,0.8408612920614196
2013,-1.2264947182995933,-0.2835939994221957,0.0011589405177435694,0.10065551429106491,2.7444979786104624,1.12125554588081
2014,-0.12635304149733656,-0.05685546523852335,0.08170512219397194,0.16183493577651567,-0.7796810917952361,1.06798014174986
2015,0.08346169661054857,0.7074050782680232,0.18847394414158342,0.19274767089198686,-0.4369349889510678,0.9029808504403918
2016,0.5680954198416049,0.07131299813285463,0.15699602635754736,0.06355195937789242,-1.074024815435201,0.7234544680369898
2017,0.8608387618767779,0.39667226347384066,0.17716932225315787,0.10726969672157773,0.4877956286099956,0.5566881923920679
2018,-0.3318495299948907,-0.7867924363053582,0.24706052326189193,0.1304973242474747,1.0923585534529023,0.2581252508884084
2019,-1.1405157356674678,-0.11022373617124384,0.20319060363801356,0.12606664953835764,-0.11393534454584162,-0.23874382851360762
2020,-4.297504576079911,-1.0116756923713763,0.062472338792966896,-0.028740452408538203,-0.5627390086594434,-0.8256511493011346
